year,sid,customer_rows,providers,distinct_providers,max_distance_km
2019,475675.0,2,ASMC,1,0.3678123019477837
2019,476016.0,2,ASMC,1,0.3871305373315574
2019,476102.0,2,ASMC,1,0.36228160526606645
2019,476542.0,2,ASMC,1,0.4811680001783915
2019,481198.0,2,ASMC,1,0.3406265921969452
2019,481235.0,2,ASMC,1,0.31932501559563814
2019,482047.0,2,ASMC,1,0.4034773273712923
2019,519518.0,2,ASMC,1,0.4065870835271546
2019,519656.0,2,ASMC,1,0.24916526811749903
2019,519659.0,2,ASMC,1,0.2523965589224378
2019,520070.0,2,ASMC,1,0.48243706675799475
2019,520071.0,2,ASMC,1,0.3013714315380072
2019,522286.0,2,ASMC,1,0.3831260629138792
2019,525854.0,2,ASMC,1,0.2812789207109862
2019,541287.0,2,ASMC,1,0.270757646632353
2019,541289.0,2,ASMC,1,0.2641072120447724
2019,541498.0,2,ASMC,1,0.2883288464258943
2019,541563.0,2,ASMC,1,0.37803364668178474
2019,550088.0,2,ASMC,1,0.44589784341284827
2019,552271.0,2,ASMC,1,0.45984411416963444
2019,552330.0,2,ASMC,1,0.43032891361372794
2019,574255.0,2,ASMC,1,0.47000704589764075
2019,875410.0,2,LAPAN,1,0.45705760015113195
2019,924270.0,2,LAPAN,1,0.3891922600209964
2019,924369.0,2,LAPAN,1,0.33134862255508085
2019,974005.0,2,LAPAN,1,0.4924333053278195
2019,975075.0,2,LAPAN,1,0.45114534785855276
2019,975914.0,2,LAPAN,1,0.13081200546615476
2019,1032438.0,2,LAPAN,1,0.3048451333100155
2019,1098821.0,2,LAPAN,1,0.26827005582745767
2019,1098825.0,2,LAPAN,1,0.2600618887682715
2019,1155039.0,2,LAPAN,1,0.48793186617310924
2019,1155059.0,2,LAPAN,1,0.36633144398862705
2019,1173370.0,2,LAPAN,1,0.35395998987926847
2019,1173389.0,2,LAPAN,1,0.4883104582279855
2019,1173403.0,2,LAPAN,1,0.4442575137810015
2019,1173425.0,2,LAPAN,1,0.30949967766974457
2019,1174084.0,2,LAPAN,1,0.32352790515452734
2019,1174094.0,2,LAPAN,1,0.303466449898875
2019,1258048.0,2,LAPAN,1,0.34506376723617155
2019,1258057.0,2,LAPAN,1,0.27006840543293575
2019,1258101.0,2,LAPAN,1,0.3390617322007986
2023,93801.0,2,NASA,1,0.14137205154349072
2023,93856.0,2,NASA,1,0.17407667977481617
2023,93858.0,2,NASA,1,0.17146851003054633
2023,115884.0,2,"LAPAN, NASA",2,0.30240925827631493
2023,115924.0,2,"LAPAN, NASA",2,0.14084711913218165
2023,117072.0,2,"LAPAN, NASA",2,0.062363832818543324
2023,117108.0,2,"LAPAN, NASA",2,0.05919429075955314
2023,117110.0,2,"LAPAN, NASA",2,0.05577463967901489
2023,117111.0,2,"LAPAN, NASA",2,0.05237902615067343
2023,122045.0,2,"LAPAN, NASA",2,0.3200030246990679
2023,123373.0,2,"LAPAN, NASA",2,0.42825741618675184
2023,123375.0,2,"LAPAN, NASA",2,0.4257818466405702
2023,123377.0,2,"LAPAN, NASA",2,0.42966432554089695
2023,123378.0,2,"LAPAN, NASA",2,0.4252508872875683
2023,123379.0,2,"LAPAN, NASA",2,0.42575757666460246
2023,125307.0,2,"LAPAN, NASA",2,0.30648088300970916
2023,125308.0,2,"LAPAN, NASA",2,0.30824605469493116
2023,125309.0,2,"LAPAN, NASA",2,0.3114190163271244
2023,125310.0,2,"LAPAN, NASA",2,0.31073814139495903
2023,125311.0,2,"LAPAN, NASA",2,0.3114189836273818
2023,126338.0,2,"LAPAN, NASA",2,0.23701353791830965
2023,126856.0,2,"LAPAN, NASA",2,0.09741556881543013
2023,126860.0,2,"LAPAN, NASA",2,0.10263524179073796
2023,126861.0,2,"LAPAN, NASA",2,0.10483310741362703
2023,126868.0,2,"LAPAN, NASA",2,0.1028402438283218
2023,126881.0,2,"LAPAN, NASA",2,0.09684135745642777
2023,126882.0,2,"LAPAN, NASA",2,0.09881892284871471
2023,126883.0,2,"LAPAN, NASA",2,0.10042300497448173
2023,126907.0,2,"LAPAN, NASA",2,0.10044648859987716
2023,126908.0,2,"LAPAN, NASA",2,0.10000755364244743
2023,126909.0,2,"LAPAN, NASA",2,0.10177895656020629
2023,126910.0,2,"LAPAN, NASA",2,0.10492922269988779
2023,126945.0,2,"LAPAN, NASA",2,0.09810985395753759
2023,126948.0,2,"LAPAN, NASA",2,0.10610066393794457
2023,126955.0,2,"LAPAN, NASA",2,0.09644430587614472
2023,126956.0,2,"LAPAN, NASA",2,0.10551753977951593
2023,126961.0,2,"LAPAN, NASA",2,0.0961843508558619
