customer_id,year,Sumber,Satellite,primary_500m,same_sat_2km,any_sat_500m,same_sat_wide_time_500m
2019:583,2019,LAPAN,Terra,False,False,True,False
2019:584,2019,LAPAN,Terra,False,False,True,False
2019:587,2019,LAPAN,Terra,False,False,True,False
2019:588,2019,LAPAN,Terra,False,False,False,False
2019:592,2019,LAPAN,Terra,False,False,False,False
2019:593,2019,LAPAN,Aqua,False,False,False,False
2019:594,2019,LAPAN,Aqua,False,False,False,False
2019:595,2019,LAPAN,Aqua,False,False,False,False
2019:596,2019,LAPAN,Aqua,False,False,True,False
2019:597,2019,LAPAN,Aqua,False,False,False,False
2019:598,2019,LAPAN,Aqua,False,False,False,False
2019:599,2019,LAPAN,Aqua,False,False,True,False
2019:600,2019,LAPAN,Aqua,False,False,False,False
2019:601,2019,LAPAN,Aqua,False,False,False,False
2019:602,2019,LAPAN,Aqua,False,False,False,False
2019:603,2019,LAPAN,Aqua,False,False,False,False
2019:604,2019,ASMC,NOAA20,False,False,False,False
2019:605,2019,ASMC,NOAA20,False,False,False,False
2019:606,2019,ASMC,NOAA20,False,False,False,False
2019:618,2019,LAPAN,Terra,False,True,False,False
2019:623,2019,LAPAN,Terra,False,False,False,False
2019:625,2019,LAPAN,Aqua,False,False,False,False
2019:629,2019,LAPAN,Terra,False,False,True,False
2019:630,2019,LAPAN,Terra,False,False,True,False
2019:631,2019,LAPAN,Terra,False,False,True,False
2019:632,2019,LAPAN,Terra,False,False,True,False
2019:633,2019,LAPAN,Terra,False,False,True,False
2019:635,2019,LAPAN,Terra,False,False,True,False
2019:636,2019,LAPAN,Terra,False,False,True,False
2019:639,2019,LAPAN,Terra,False,False,True,False
2019:641,2019,LAPAN,Aqua,False,False,True,False
2019:642,2019,LAPAN,Terra,False,False,True,False
2019:643,2019,LAPAN,Terra,False,False,True,False
2019:644,2019,LAPAN,Terra,False,False,True,False
2019:646,2019,LAPAN,Terra,False,False,True,False
2019:648,2019,LAPAN,Terra,False,False,True,False
2019:649,2019,ASMC,NOAA20,False,False,False,False
2019:683,2019,LAPAN,Aqua,False,False,True,False
2019:684,2019,LAPAN,Aqua,False,False,True,False
2019:685,2019,LAPAN,Aqua,False,False,True,False
2019:686,2019,LAPAN,Aqua,False,False,True,False
2019:687,2019,LAPAN,Aqua,False,False,True,False
2019:688,2019,LAPAN,Aqua,False,False,True,False
2019:689,2019,LAPAN,Aqua,False,False,True,False
2019:690,2019,LAPAN,Aqua,False,False,True,False
2019:691,2019,LAPAN,Aqua,False,False,True,False
2019:692,2019,LAPAN,Aqua,False,False,True,False
2019:753,2019,LAPAN,SNPP,False,True,False,False
2019:754,2019,LAPAN,Aqua,False,False,True,False
2019:757,2019,LAPAN,Aqua,False,True,True,False
2019:758,2019,LAPAN,Aqua,False,False,True,False
2019:760,2019,LAPAN,Aqua,False,True,False,False
2019:761,2019,LAPAN,Aqua,False,True,True,False
2019:762,2019,LAPAN,Aqua,False,True,True,False
2019:764,2019,LAPAN,Aqua,False,False,True,False
2019:765,2019,LAPAN,Aqua,False,False,True,False
2019:766,2019,LAPAN,Aqua,False,False,False,False
2019:768,2019,LAPAN,Aqua,False,True,True,False
2019:770,2019,LAPAN,Aqua,False,True,True,False
2019:772,2019,LAPAN,Aqua,False,False,True,False
2019:775,2019,LAPAN,Aqua,False,False,False,False
2019:776,2019,LAPAN,Aqua,False,False,True,False
2019:778,2019,LAPAN,Aqua,False,False,True,False
2019:779,2019,LAPAN,Aqua,False,True,True,False
2019:783,2019,LAPAN,Aqua,False,False,False,False
2019:784,2019,LAPAN,Aqua,False,False,True,False
2019:788,2019,LAPAN,Aqua,False,False,False,False
2019:790,2019,LAPAN,Aqua,False,False,True,False
2019:792,2019,LAPAN,Aqua,False,True,True,False
2019:793,2019,LAPAN,Aqua,False,True,True,False
2019:795,2019,LAPAN,Aqua,False,True,False,False
2019:796,2019,LAPAN,Aqua,False,False,False,False
2019:803,2019,LAPAN,Terra,False,False,False,False
2019:804,2019,LAPAN,Terra,False,False,False,False
2019:805,2019,LAPAN,Terra,False,False,False,False
2019:806,2019,0-3085969,Unknown,False,False,False,False
2019:807,2019,LAPAN,SNPP,False,False,True,False
2019:808,2019,LAPAN,SNPP,False,False,True,False
2019:809,2019,ASMC,NOAA20,False,False,False,False
2019:810,2019,ASMC,NOAA20,False,False,False,False
2019:852,2019,LAPAN,Terra,False,False,False,False
2019:860,2019,LAPAN,Terra,False,False,False,False
2019:869,2019,LAPAN,Aqua,False,False,False,False
2019:876,2019,ASMC,NOAA20,False,False,False,False
2019:877,2019,ASMC,NOAA20,False,False,False,False
2019:878,2019,LAPAN,Terra,False,False,False,False
