customer_index,sid,distance_km,delta_minutes,same_satellite,unknown_satellite,time_residual_minutes,candidate_count
568,16914,0.02058121599342065,374.0,True,False,-46.0,1
573,16919,0.018856420209090414,374.0,True,False,-46.0,1
574,16915,0.015704492483631358,374.0,True,False,-46.0,1
575,16911,0.01900771333543679,374.0,True,False,-46.0,1
576,16921,0.01772139408668606,374.0,True,False,-46.0,1
577,16908,0.014003247189333056,374.0,True,False,-46.0,1
578,16904,0.018498288292767628,374.0,True,False,-46.0,1
579,16923,0.017853850321100366,374.0,True,False,-46.0,1
583,16922,0.022975532305970048,374.0,True,False,-46.0,1
584,16918,0.014829696215024288,374.0,True,False,-46.0,1
587,17004,0.03353128655460898,409.0,True,False,-11.0,1
588,17005,0.034840761588465684,409.0,True,False,-11.0,1
589,17002,0.050022937503719944,409.0,True,False,-11.0,1
605,17323,0.06506276111117155,366.0,True,False,-54.0,1
606,17326,0.07099269807025226,366.0,True,False,-54.0,1
607,17324,0.07025200608531285,366.0,True,False,-54.0,1
608,17322,0.07178976317755201,366.0,True,False,-54.0,1
609,17320,0.0629836459596294,366.0,True,False,-54.0,1
610,17321,0.07236589324157715,366.0,True,False,-54.0,1
611,17325,0.07123312513549945,366.0,True,False,-54.0,1
612,17560,0.037183517864147926,404.0,True,False,-16.0,1
613,17557,0.037895538356848106,404.0,True,False,-16.0,1
614,17555,0.031665615162217185,404.0,True,False,-16.0,1
615,17558,0.03735245359821973,404.0,True,False,-16.0,1
617,17559,0.034256137743433,404.0,True,False,-16.0,1
618,17556,0.03458425856787335,404.0,True,False,-16.0,1
619,17565,0.024708728621260768,404.0,True,False,-16.0,1
620,17554,0.03229529485741822,404.0,True,False,-16.0,1
622,17732,0.09282846409599921,409.0,True,False,-11.0,1
624,17734,0.09667121207454343,409.0,True,False,-11.0,1
625,17660,0.06865591388317917,409.0,True,False,-11.0,1
626,17707,0.09947794745016343,409.0,True,False,-11.0,1
632,17708,0.10216994230516364,409.0,True,False,-11.0,1
635,17737,0.09366938279766153,409.0,True,False,-11.0,1
636,17874,0.09076634670661565,408.0,True,False,-12.0,1
638,17735,0.09877586835063373,409.0,True,False,-11.0,1
643,17742,0.07775151493995935,409.0,True,False,-11.0,1
645,17733,0.09655580868611975,409.0,True,False,-11.0,1
648,18041,0.022724009907912523,383.0,True,False,-37.0,1
649,18036,0.019805212333930466,383.0,True,False,-37.0,1
650,18031,0.019101464650209045,383.0,True,False,-37.0,1
651,17980,0.017361211528655888,383.0,True,False,-37.0,1
652,17993,0.023808283434693007,383.0,True,False,-37.0,1
653,17986,0.022350451928005506,383.0,True,False,-37.0,1
654,17974,0.024272359759648834,384.0,True,False,-36.0,1
655,17981,0.015165984915443406,383.0,True,False,-37.0,1
656,17988,0.02098341230553264,383.0,True,False,-37.0,1
657,18000,0.01951694984885195,383.0,True,False,-37.0,1
658,17990,0.014781995180213104,383.0,True,False,-37.0,1
659,17982,0.01967154641665642,383.0,True,False,-37.0,1
660,17991,0.019126546872378636,383.0,True,False,-37.0,1
661,17996,0.019238931466087836,383.0,True,False,-37.0,1
662,17997,0.022408909714639384,383.0,True,False,-37.0,1
663,17998,0.02636172134089148,383.0,True,False,-37.0,1
664,17999,0.015906706751515988,383.0,True,False,-37.0,1
665,18001,0.02353324165949039,383.0,True,False,-37.0,1
666,17973,0.01769233340240262,384.0,True,False,-36.0,1
667,18037,0.022491123407780526,383.0,True,False,-37.0,1
668,17984,0.023915809223580494,383.0,True,False,-37.0,1
669,17987,0.01704461467503637,383.0,True,False,-37.0,1
670,17992,0.022329219552160606,383.0,True,False,-37.0,1
671,17983,0.019977872938894355,383.0,True,False,-37.0,1
672,18032,0.021908106184011737,383.0,True,False,-37.0,1
673,17995,0.019459488858469428,383.0,True,False,-37.0,1
674,18038,0.01732007307855577,383.0,True,False,-37.0,1
675,17979,0.016705940966198297,383.0,True,False,-37.0,1
676,17978,0.022900176807795436,383.0,True,False,-37.0,1
677,17989,0.02222275647420187,383.0,True,False,-37.0,1
678,18042,0.02677895736800686,383.0,True,False,-37.0,1
679,17985,0.014262021798691408,383.0,True,False,-37.0,1
680,17994,0.0256081409998032,383.0,True,False,-37.0,1
691,914431,0.2776400574625228,379.0,True,False,-41.0,2
692,18109,0.046747919774084504,386.0,True,False,-34.0,1
693,914444,0.2733662081513857,379.0,True,False,-41.0,2
694,18111,0.05251503383169345,386.0,True,False,-34.0,1
695,18104,0.046471924491659,386.0,True,False,-34.0,1
696,18108,0.044340362212363926,386.0,True,False,-34.0,1
697,18107,0.0462302013555277,386.0,True,False,-34.0,1
698,914442,0.2673966261165809,379.0,True,False,-41.0,4
699,914648,0.2585258921506209,379.0,True,False,-41.0,4
700,914644,0.2536676885676645,379.0,True,False,-41.0,4
701,914646,0.22342979319853984,379.0,True,False,-41.0,4
702,914638,0.3404441043969829,379.0,True,False,-41.0,2
703,914924,0.2501989215927627,379.0,True,False,-41.0,4
704,18155,0.04728445485564225,386.0,True,False,-34.0,1
705,18153,0.049311418519080885,386.0,True,False,-34.0,1
706,18151,0.05013677085514948,386.0,True,False,-34.0,1
707,18144,0.041234628115541454,386.0,True,False,-34.0,1
708,914740,0.2797537414697483,379.0,True,False,-41.0,4
709,18138,0.041397143745073584,386.0,True,False,-34.0,1
710,18137,0.047891806153759875,386.0,True,False,-34.0,1
711,18150,0.04636512504311676,386.0,True,False,-34.0,1
712,914702,0.1807441808255289,379.0,True,False,-41.0,6
713,18149,0.04256235994294401,386.0,True,False,-34.0,1
714,18146,0.040739748921590935,386.0,True,False,-34.0,1
715,914703,0.26352191493047245,379.0,True,False,-41.0,6
716,914736,0.2663899316203823,379.0,True,False,-41.0,4
717,914741,0.2540806926464515,379.0,True,False,-41.0,4
718,18139,0.04463621063421235,386.0,True,False,-34.0,1
719,914651,0.2659915047546023,379.0,True,False,-41.0,3
720,914683,0.18478032235556877,379.0,True,False,-41.0,8
721,914636,0.2232880046427147,379.0,True,False,-41.0,4
722,18142,0.04109582460857568,386.0,True,False,-34.0,1
723,18143,0.047491928408577314,386.0,True,False,-34.0,1
724,18148,0.04888963603225193,386.0,True,False,-34.0,1
725,914700,0.21314133107270963,379.0,True,False,-41.0,5
726,18141,0.04771141564730524,386.0,True,False,-34.0,1
727,914738,0.2403833422669788,379.0,True,False,-41.0,4
728,18110,0.04927581555429983,386.0,True,False,-34.0,1
729,18121,0.041350259667764906,386.0,True,False,-34.0,1
730,914437,0.24297774784267492,379.0,True,False,-41.0,2
731,18145,0.04480508468356247,386.0,True,False,-34.0,1
732,18140,0.048154703172829896,386.0,True,False,-34.0,1
733,18147,0.04491363902328666,386.0,True,False,-34.0,1
734,914650,0.22880843345381977,379.0,True,False,-41.0,3
735,914681,0.2371191803928778,379.0,True,False,-41.0,8
736,18136,0.04831444822574153,386.0,True,False,-34.0,1
737,18152,0.0450549652343073,386.0,True,False,-34.0,1
738,914735,0.29337010415925163,379.0,True,False,-41.0,4
739,914698,0.17325520678448128,379.0,True,False,-41.0,6
740,914429,0.2393774117769325,379.0,True,False,-41.0,4
741,18154,0.04320312094434557,386.0,True,False,-34.0,1
742,18207,0.033723072310430036,361.0,True,False,-59.0,1
743,18218,0.02782817760688227,361.0,True,False,-59.0,1
744,18209,0.024227115812306892,361.0,True,False,-59.0,1
745,18221,0.03473839817099245,361.0,True,False,-59.0,1
746,18211,0.026385272975784194,361.0,True,False,-59.0,1
747,18210,0.027731375442623444,361.0,True,False,-59.0,1
748,18225,0.016868554171884896,361.0,True,False,-59.0,1
749,18217,0.025630688626461926,361.0,True,False,-59.0,1
750,18208,0.024299515351197464,361.0,True,False,-59.0,1
753,18352,0.02282994137540448,365.0,True,False,-55.0,1
754,18351,0.02463697504242573,365.0,True,False,-55.0,1
757,18349,0.02310761726947713,365.0,True,False,-55.0,1
761,18350,0.021734843557096935,365.0,True,False,-55.0,1
765,18323,0.01186492501551301,366.0,True,False,-54.0,1
767,18323,0.4850244586727681,366.0,True,False,-54.0,1
