year,rule,listed_and_selected,unlisted_selected,listed_missed,unlisted_not_selected,selected,listed,listed_recall,listed_precision_proxy,listed_f1_proxy
2023,r=2km;t=10min;n>=3,10805,34486,5142,24349,45291,15947,0.6775569072552832,0.2385683689916319,0.3528854632744374
2023,r=2km;t=10min;n>=5,7785,24781,8162,34054,32566,15947,0.4881795949081332,0.23905300006141375,0.320944901366644
2023,r=2km;t=30min;n>=2,13427,45254,2520,13581,58681,15947,0.8419765473129742,0.22881341490431314,0.359838130460417
2023,r=2km;t=30min;n>=3,11169,35928,4778,22907,47097,15947,0.7003825170878535,0.2371488629849035,0.3543239642154686
2023,r=2km;t=30min;n>=5,8287,26245,7660,32590,34532,15947,0.5196588700068978,0.23998030812000462,0.32833455496345015
2023,r=2km;t=60min;n>=2,14340,48639,1607,10196,62979,15947,0.8992286950523609,0.22769494593435907,0.36337835440792643
2023,r=2km;t=60min;n>=3,12900,41023,3047,17812,53923,15947,0.8089295792312033,0.23923001316692322,0.36925719192786605
2023,r=2km;t=60min;n>=5,10495,32260,5452,26575,42755,15947,0.6581175142660062,0.24546836627295054,0.35756873701066405
2023,r=2km;t=1440min;n>=2,15120,51676,827,7159,66796,15947,0.9481407161221547,0.22636085993173244,0.36546898227040353
2023,r=2km;t=1440min;n>=3,14327,46517,1620,12318,60844,15947,0.8984134947011977,0.23547104069423444,0.373142685991848
2023,r=2km;t=1440min;n>=5,12964,40317,2983,18518,53281,15947,0.8129428732676992,0.24331375161877591,0.37453053677702663
2023,quoted_same_satellite,11888,39723,4059,19112,51611,15947,0.7454693672791121,0.23033849373195636,0.3519346339441665
2023,quoted_other_satellite,2416,8576,13531,50259,10992,15947,0.15150184987771995,0.2197962154294032,0.17936820223467834
2023,quoted_different_time,2537,8723,13410,50112,11260,15947,0.15908948391546998,0.22531083481349912,0.1864961223214614
2023,quoted_prior_strict,1054,3884,14893,54951,4938,15947,0.06609393616354173,0.2134467395706764,0.10093368446253292
2023,all_hotspots,15947,58835,0,0,74782,15947,1.0,0.21324650316921184,0.3515303816861202
2023,confidence>=30_only,15010,55964,937,2871,70974,15947,0.9412428669969273,0.21148589624369488,0.3453710840878499
2023,confidence>=50_only,14820,54985,1127,3850,69805,15947,0.9293284003260801,0.21230570876011748,0.34564791491743635
2023,confidence>=80_only,792,3915,15155,54920,4707,15947,0.04966451370163667,0.1682600382409178,0.07669216616636003
2023,type0_only,14814,58544,1133,291,73358,15947,0.9289521540101586,0.2019411652444178,0.33176193942108506
2023,day_only,9521,34411,6426,24424,43932,15947,0.5970401956480843,0.2167212965492124,0.3180079827652432
2023,FRP>=1_only,14373,54573,1574,4262,68946,15947,0.9012980497899291,0.2084674963014533,0.3386144911830186
2023,FRP>=5_only,8246,29855,7701,28980,38101,15947,0.5170878535147677,0.21642476575417968,0.30513617525162817
2023,FRP>=10_only,4026,14766,11921,44069,18792,15947,0.25246127798331974,0.21424010217113665,0.23178560119750136
2023,FRP>=20_only,1635,5889,14312,52946,7524,15947,0.10252712108860601,0.21730462519936203,0.1393208640449917
2023,FRP>=50_only,410,1355,15537,57480,1765,15947,0.025710164921301813,0.23229461756373937,0.046296296296296294
2023,quoted + nominal_VIIRS_or_MODIS>=50,11637,39646,4310,19189,51283,15947,0.7297297297297297,0.22691730202991245,0.3461847389558233
2023,quoted + high_confidence_only,716,2921,15231,55914,3637,15947,0.0448987270332978,0.19686554852900742,0.07312091503267974
2023,quoted + type0,12050,41880,3897,16955,53930,15947,0.7556280178089922,0.22343778972742445,0.3448917383402264
2023,quoted + day_only,7726,22963,8221,35872,30689,15947,0.4844798394682385,0.2517514418847144,0.33133201818337765
2023,quoted + night_only,4710,18978,11237,39857,23688,15947,0.2953533579983696,0.19883485309017224,0.23766872713510787
2023,quoted + FRP>=1,11739,39753,4208,19082,51492,15947,0.7361259171003951,0.22797716150081565,0.3481368347691988
2023,quoted + FRP>=5,7068,22081,8879,36754,29149,15947,0.44321816015551513,0.24247830114240626,0.3134646088344864
2023,quoted + FRP>=10,3515,11219,12432,47616,14734,15947,0.22041763341067286,0.23856386588842135,0.22913203611355562
2023,quoted + FRP>=20,1450,4421,14497,54414,5871,15947,0.09092619301436007,0.24697666496337933,0.13291777431478596
2023,quoted + FRP>=50,358,1031,15589,57804,1389,15947,0.0224493635166489,0.257739380849532,0.04130133825565298
2023,quality_first_then_quoted,11500,39120,4447,19715,50620,15947,0.7211387721828557,0.22718293164757014,0.345516547238121
